;No;;;Tanggal;;;PM10;;;SO2;;;CO;;;O3;;;NO2;;;Output;;
;;;;;;;;;;;;;;;;;;;;;;;;
1;;;01/01/2014;;;31,13;;;85,68;;;0,2;;;44,6;;;5,47;;;;S;;
2;;;01/02/2014;;;25,73;;;83,64;;;0,28;;;40,37;;;4,55;;;;S;;
3;;;01/03/2014;;;20,63;;;83,49;;;0,17;;;29,43;;;4,08;;;;S;;
4;;;01/04/2014;;;19,34;;;80,08;;;0,19;;;26,76;;;2,61;;;;S;;
5;;;01/05/2014;;;18,86;;;80,41;;;0,1;;;52,53;;;3,67;;;;B;;
6;;;01/06/2014;;;11,77;;;80,97;;;0,3;;;69;;;2,87;;;;S;;
7;;;01/07/2014;;;12,02;;;80,22;;;0,22;;;-;;;1,43;;;;S;;
8;;;01/08/2014;;;20,84;;;80,43;;;0,3;;;-;;;4,09;;;;B;;
9;;;01/09/2014;;;23,25;;;81,88;;;0,32;;;-;;;3,62;;;;B;;
10;;;01/10/2014;;;31,21;;;81,47;;;0,28;;;-;;;4,36;;;;B;;
11;;;01/11/2014;;;15,19;;;79,53;;;0,12;;;-;;;2,31;;;;B;;
12;;;01/12/2014;;;10,73;;;79,21;;;0,18;;;-;;;2,68;;;;B;;
13;;;13/01/2014;;;6,28;;;79,77;;;0,18;;;-;;;2,76;;;;B;;
14;;;14/01/2014;;;16,25;;;79,73;;;0,12;;;-;;;3,57;;;;B;;
15;;;15/01/2014;;;31,05;;;81,08;;;0,27;;;-;;;4,18;;;;S;;
16;;;16/01/2014;;;32,14;;;79,53;;;0,21;;;76,68;;;5,76;;;;S;;
17;;;17/01/2014;;;44,19;;;79,86;;;0,23;;;76,84;;;8,61;;;;S;;
18;;;18/01/2014;;;34,53;;;80,85;;;0,24;;;69,05;;;6,05;;;;S;;
19;;;19/01/2014;;;40,11;;;81,09;;;0,39;;;56,61;;;4,53;;;;S;;
20;;;20/01/2014;;;38,47;;;82,39;;;0,23;;;68,35;;;4,24;;;;S;;
21;;;21/01/2014;;;30,49;;;78,16;;;0,14;;;81,24;;;6,33;;;;S;;
22;;;22/01/2014;;;38,42;;;79,39;;;0,18;;;81,45;;;6,88;;;;S;;
23;;;23/01/2014;;;45,63;;;79,13;;;0,17;;;98,37;;;6,67;;;;S;;
24;;;24/01/2014;;;52,9;;;78,11;;;0,22;;;94,79;;;7,37;;;;TS;;
25;;;25/01/2014;;;55,6;;;78,28;;;0,27;;;73,18;;;7,98;;;;S;;
26;;;26/01/2014;;;51,32;;;77,88;;;0,11;;;83,64;;;5,05;;;;S;;
27;;;27/01/2014;;;51,56;;;78,92;;;0,23;;;78,26;;;6,41;;;;TS;;
28;;;28/01/2014;;;39,74;;;81,12;;;0,15;;;69,56;;;4,28;;;;S;;
29;;;29/01/2014;;;40,86;;;79,46;;;0,19;;;74,84;;;4,85;;;;S;;
30;;;30/01/2014;;;55,21;;;85,6;;;0,2;;;73,01;;;3,12;;;;S;;
31;;;31/01/2014;;;-;;;-;;;-;;;-;;;-;;;;S;;
32;;;02/01/2014;;;-;;;-;;;-;;;-;;;-;;;;S;;
33;;;02/02/2014;;;-;;;-;;;-;;;-;;;-;;;;S;;
34;;;02/03/2014;;;-;;;-;;;-;;;-;;;-;;;;S;;
35;;;02/04/2014;;;42,05;;;79,88;;;0,17;;;71,5;;;5,25;;;;B;;
36;;;02/05/2014;;;69,73;;;79,62;;;0,36;;;83,24;;;6,03;;;;S;;
37;;;02/06/2014;;;96,76;;;80,79;;;0,59;;;83,37;;;10,28;;;;S;;
38;;;02/07/2014;;;147,1;;;83,28;;;0,96;;;71,69;;;7,8;;;;S;;
39;;;02/08/2014;;;-;;;-;;;-;;;-;;;-;;;;S;;
40;;;02/09/2014;;;-;;;-;;;-;;;-;;;-;;;;S;;
41;;;02/10/2014;;;-;;;-;;;-;;;-;;;-;;;;S;;
42;;;02/11/2014;;;67,16;;;79,62;;;0,36;;;59,59;;;6,74;;;;S;;
43;;;02/12/2014;;;125,15;;;81,44;;;0,64;;;80,96;;;7;;;;S;;
44;;;13/02/2014;;;147;;;83,26;;;0,88;;;63,98;;;5,9;;;;TS;;
45;;;14/02/2014;;;156,97;;;84,05;;;1,13;;;54,27;;;7,34;;;;S;;
46;;;15/02/2014;;;172,51;;;86,35;;;1,28;;;51,77;;;7,83;;;;TS;;
47;;;16/02/2014;;;157,6;;;85,3;;;1,06;;;59,85;;;5,7;;;;TS;;
48;;;17/02/2014;;;176,42;;;84,24;;;1,26;;;53,7;;;5,15;;;;TS;;
49;;;18/02/2014;;;351,12;;;86,79;;;2,65;;;25,94;;;2,07;;;;TS;;
50;;;19/02/2014;;;267,25;;;95,47;;;1,99;;;30,2;;;1,87;;;;TS;;
51;;;20/02/2014;;;165,79;;;85,93;;;1,03;;;50,77;;;6,57;;;;TS;;
52;;;21/02/2014;;;112,63;;;86,32;;;0,67;;;46,12;;;5,82;;;;S;;
53;;;22/02/2014;;;130,74;;;87,43;;;0,8;;;52,57;;;4,08;;;;TS;;
54;;;23/02/2014;;;248,09;;;87,23;;;1,45;;;67,54;;;7,2;;;;S;;
55;;;24/02/2014;;;296,97;;;90,15;;;1,85;;;68;;;5,86;;;;TS;;
56;;;25/02/2014;;;320,19;;;91,96;;;2,03;;;69,84;;;5,51;;;;TS;;
57;;;26/02/2014;;;328,12;;;93,76;;;1,86;;;48,44;;;4,76;;;;TS;;
58;;;27/02/2014;;;230,59;;;91,39;;;1,38;;;46,16;;;4,86;;;;TS;;
59;;;28/02/2014;;;282,37;;;91,9;;;1,7;;;48,88;;;5,96;;;;TS;;
60;;;03/01/2014;;;287,89;;;92,38;;;1,83;;;56,09;;;5,01;;;;TS;;
61;;;03/02/2014;;;275,04;;;92,17;;;1,81;;;37,88;;;6,08;;;;TS;;
62;;;03/03/2014;;;218,79;;;90,79;;;1,51;;;40,86;;;5,94;;;;TS;;
63;;;03/04/2014;;;190,74;;;88,96;;;1,44;;;56,44;;;6,92;;;;TS;;
64;;;03/05/2014;;;232,49;;;88,02;;;1,49;;;63,01;;;7,11;;;;TS;;
65;;;03/06/2014;;;274,68;;;88,95;;;1,55;;;68,37;;;6,47;;;;TS;;
66;;;03/07/2014;;;324,52;;;92,48;;;1,91;;;69,36;;;5,66;;;;TS;;
67;;;03/08/2014;;;368,97;;;94,86;;;2,39;;;56,44;;;5,27;;;;STS;;
68;;;03/09/2014;;;492,56;;;87,91;;;2,95;;;45,76;;;2,7;;;;BB;;
69;;;03/10/2014;;;386,95;;;94;;;2,29;;;58,76;;;4,42;;;;STS;;
70;;;03/11/2014;;;326,84;;;97,99;;;1,93;;;75,59;;;9,74;;;;STS;;
71;;;03/12/2014;;;465,01;;;100,23;;;2,57;;;64,57;;;8,39;;;;BB;;
72;;;13/03/2014;;;486,45;;;107,4;;;4,75;;;48,54;;;3,45;;;;BB;;
